feature,importance
years_at_company,0.29674646
satisfaction_level,0.27831683
last_evaluation,0.08030631
num_projects,0.060279485
avg_monthly_hours,0.038260292
had_work_accident,0.028832728
Dept_management,0.027710943
salary,0.025786074
Dept_hr,0.024877157
Dept_sales,0.021044493
Dept_marketing,0.02020375
promotion_last_5_years,0.019952746
Dept_product_mng,0.019608373
Dept_technical,0.019212691
Dept_support,0.013882973
Dept_accounting,0.0131229935
Dept_RandD,0.011855703
