feature,importance
average_montly_hours,700
satisfaction_level,613
last_evaluation,511
number_project,398
time_spend_company,361
salary,105
Dept_technical,49
Work_accident,28
Dept_support,23
Dept_sales,21
Dept_product_mng,16
Dept_hr,14
Dept_RandD,14
Dept_accounting,13
promotion_last_5years,12
Dept_management,10
Dept_marketing,3
